date,totalKm,totalDetections,totalUsers
2024-09-13,79445874.5,407319481,159588
2024-09-14,79690137.7,408305845,159666
2024-09-15,79998216.9,409619274,159819
2024-09-16,80291157.9,410817998,159996
2024-09-18,81221849.6,414710324,160341
2024-09-19,81829907.9,417675650,160568
2024-09-20,81928533.10000001,418093310,160594
2024-09-21,82353315.3,420021273,160741
2024-09-22,82646886.3,421313207,160962
2024-09-23,82924187.4,422501872,163347
2024-09-24,83395924.10000001,424751898,166669
2024-09-25,83846515.8,426786539,168392
2024-09-26,84557734.0,429905072,169409
2024-09-27,84660864.5,430324394,169492
2024-09-28,84999591.4,432176584,169970
2024-09-29,85327930.4,433565966,170433
2024-09-30,85643432.8,434828184,171018
2024-10-01,86147394.3,436710851,171759
2024-10-02,86626056.4,438805163,172246
2024-10-03,87187693.3,441433879,173947
